type,client,tx,amount
withdrawal,28,1,781.2278
deposit,223,2,131.5154
withdrawal,457,3,860.6015
deposit,59,4,164.1577
withdrawal,464,5,962.4279
deposit,332,6,916.9535
deposit,97,7,19.563
withdrawal,275,8,210.0904
deposit,413,9,231.6332
deposit,312,10,911.5619
deposit,191,11,317.2978
withdrawal,492,12,510.5919
chargeback,59,4,
withdrawal,226,13,262.5131
withdrawal,150,14,468.313
deposit,194,15,46.6231
deposit,61,16,662.3054
deposit,408,17,143.5795
dispute,223,2,
deposit,39,18,299.5944
withdrawal,182,19,607.1053
deposit,20,20,446.2523
resolve,194,15,
resolve,20,20,
deposit,446,21,907.8633
deposit,303,22,719.8006
deposit,14,23,877.0386
deposit,264,24,241.9947
deposit,346,25,610.2141
dispute,264,24,
resolve,408,17,
withdrawal,416,26,896.9774
withdrawal,330,27,548.1869
deposit,168,28,658.4358
deposit,290,29,728.1052
deposit,257,30,437.5823
deposit,380,31,859.6108
resolve,168,28,
deposit,101,32,570.5065
deposit,15,33,177.71
withdrawal,164,34,895.8707
deposit,316,35,42.561
deposit,365,36,195.8591
withdrawal,60,37,115.2604
deposit,395,38,847.5122
withdrawal,468,39,505.389
withdrawal,346,40,297.641
deposit,375,41,576.5887
dispute,14,23,
deposit,220,42,554.2148
resolve,380,31,
deposit,250,43,44.4436
deposit,189,44,936.2298
deposit,463,45,894.5048
deposit,439,46,291.8975
withdrawal,397,47,842.0473
deposit,21,48,293.8833
withdrawal,294,49,658.7903
resolve,220,42,
withdrawal,350,50,854.0047
dispute,220,42,
deposit,7,51,834.4505
withdrawal,103,52,73.8147
deposit,49,53,205.5346
withdrawal,87,54,906.3831
withdrawal,165,55,738.8867
withdrawal,475,56,851.9559
withdrawal,56,57,345.8917
withdrawal,145,58,5.6423
deposit,428,59,226.1575
withdrawal,31,60,906.8883
deposit,497,61,976.7974
withdrawal,330,62,543.6981
deposit,189,63,488.4066
resolve,380,31,
dispute,332,6,
deposit,249,64,807.9874
withdrawal,336,65,847.097
chargeback,446,21,
deposit,145,66,27.4169
withdrawal,95,67,521.961
dispute,332,6,
chargeback,375,41,
dispute,97,7,
withdrawal,241,68,148.8242
deposit,153,69,519.3461
dispute,21,48,
deposit,29,70,204.9484
deposit,269,71,486.1131
withdrawal,254,72,947.4053
withdrawal,5,73,536.1824
withdrawal,164,74,255.3553
deposit,318,75,687.5515
deposit,179,76,359.6863
deposit,231,77,764.58
withdrawal,464,78,935.4668
resolve,365,36,
dispute,269,71,
deposit,384,79,912.7052
deposit,345,80,329.9461
deposit,199,81,192.5272
deposit,147,82,91.5374
deposit,108,83,417.1864
dispute,290,29,
dispute,189,44,
chargeback,29,70,
dispute,189,44,
deposit,478,84,248.1117
deposit,84,85,665.6116
chargeback,413,9,
withdrawal,388,86,340.1292
dispute,223,2,
resolve,250,43,
deposit,287,87,190.9678
withdrawal,137,88,500.7747
withdrawal,11,89,315.8394
withdrawal,294,90,99.8599
withdrawal,20,91,390.1322
withdrawal,210,92,742.4572
deposit,61,93,938.0252
deposit,53,94,428.1241
chargeback,189,44,
withdrawal,238,95,480.8722
withdrawal,58,96,764.6768
dispute,287,87,
deposit,25,97,979.1302
deposit,67,98,810.8309
withdrawal,479,99,741.7991
withdrawal,289,100,499.0797
dispute,53,94,
deposit,144,101,255.4706
dispute,145,66,
chargeback,147,82,
deposit,203,102,282.7326
resolve,194,15,
deposit,451,103,568.1905
